title,price,sold_date,graded,grader,grade,auction,best_offer,shipping,seller,condition,item_url
Shop on eBay,$20.00,,N,,,N,Y,,,Brand New,https://ebay.com/itm/123456
1991 1992 Stadium Club Baseball you pick NM base stars RC rookie insert HOFer's,$1.00,"Sold Mar 19, 2026",N,,,N,N,$0.74,kempescollectibles,New,https://www.ebay.com/itm/295281122300
1992 Stadium Club Baseball Card #s 250 - 750 - You Pick,$0.99,"Sold Mar 18, 2026",N,,,N,N,$0.74,wearecoll-37,New,https://www.ebay.com/itm/236628533156
A6796- 1992 Stadium Club Baseball Card #s 501-750 -You Pick- 15+ FREE US SHIP,$1.99,"Sold Mar 15, 2026",N,,,N,N,$1.09,richindeals7,New,https://www.ebay.com/itm/234121659603
1992 Stadium Club Dome Baseball,$0.99,"Sold Mar 5, 2026",N,,,N,N,$1.00,simicards,New,https://www.ebay.com/itm/282851823725
A6796- 1992 Stadium Club Baseball Card #s 251-500 -You Pick- 15+ FREE US SHIP,$0.99,"Sold Mar 4, 2026",N,,,N,N,$1.09,richindeals7,New,https://www.ebay.com/itm/334101870041
"Ken Griffey, Jr. #603b 1992 Stadium Club Baseball (5L)",$1.84,"Sold Mar 1, 2026",N,,,N,N,$0.00,covenant_cards,New,https://www.ebay.com/itm/327024917938
1992 STADIUM CLUB BASEBALL REGULAR BASE SERIES 2 & 3 SINGLES #'S 451-675,$0.99,"Sold Mar 1, 2026",N,,,N,N,$0.95,teampulicebelievesllc,New,https://www.ebay.com/itm/113584171897
1992 Stadium Club Baseball - #603 Seattle Mariners - KEN GRIFFEY JR.,$1.49,"Sold Feb 26, 2026",N,,,N,Y,$1.49,house_divided,New,https://www.ebay.com/itm/276829017333
1992 Stadium Club Dome Baseball #70 Ken Griffey Jr. Seattle Mariners,$2.00,"Sold Feb 25, 2026",N,,,N,Y,$1.95,traderscornermurphync,New,https://www.ebay.com/itm/405922771836
"1992 Stadium Club Baseball Ken Griffey, Jr. #603 NM",$0.99,"Sold Feb 24, 2026",N,,,N,N,$1.99,gradientcollects,New,https://www.ebay.com/itm/227179737009
Ken Griffey Jr. Baseball Cards You Pick Seattle Mariners Cincinnati Reds Part 4,$1.99,"Sold Feb 14, 2026",N,,,N,N,$0.00,bestseller20_7,New,https://www.ebay.com/itm/256660919989
KEN GRIFFEY JR 1992 Stadium Club MEMBERS ONLY Scoreboard Mariners Baseball (f3),$1.89,"Sold Feb 2, 2026",N,,,N,N,$1.40,start_em_low,New,https://www.ebay.com/itm/197706066013
"Ken Griffey Jr. #270 (1992 Stadium Club) Baseball Card, Seattle Mariners, HOF",$3.00,"Sold Feb 1, 2026",N,,,N,Y,$0.99,jorge1713,New,https://www.ebay.com/itm/284267686476
KEN GRIFFEY JR Oddball Insert & Regular issue Baseball MARINERS YOU CHOOSE,$1.00,"Sold Feb 1, 2026",N,,,N,N,$1.25,thogalas-0,New,https://www.ebay.com/itm/356901871164
Ken Griffey Jr. - 1992 Stadium Club Baseball Card - Members Choice Insert,$2.99,"Sold Jan 29, 2026",N,,,N,N,$0.00,kjk123,New,https://www.ebay.com/itm/406651023687
"1992 Stadium Club Dome #70 Ken Griffey, Jr. Marniers Baseball Card 1301E",$3.50,"Sold Jan 28, 2026",N,,,N,Y,$0.89,1800gifts,New,https://www.ebay.com/itm/168105622617
Ken Griffey Jr. Baseball ⚾️ Cards - YOU PICK - Base Inserts - (2 CARD MINIMUM),$0.99,"Sold Jan 27, 2026",N,,,N,N,$0.00,maple_city_card_corner,New,https://www.ebay.com/itm/274893403664
Ken Griffey Jr The Kid Baseball Card Single * You PICK CHOOSE * Mariners Reds 1,$0.99,"Sold Jan 19, 2026",N,,,N,N,$2.00,duckyboy34,New,https://www.ebay.com/itm/364662137667
"1992 Stadium Club BASEBALL #400 Ken Griffey, Jr.",$2.39,"Sold Jan 18, 2026",N,,,N,Y,$0.00,10thinningcardscollectibles,New,https://www.ebay.com/itm/197892109067
1992 Stadium Club Ken Griffey Jr. Baseball Cards #603,$2.99,"Sold Jan 7, 2026",N,,,N,Y,$0.00,sportcardmktplace,New,https://www.ebay.com/itm/126829510058
1992 Stadium Club BASEBALL Complete 900 Card Set *Griffey Jr*Ryan*BO* EXC-MT !,$24.95,"Sold Jan 4, 2026",N,,,Y,N,$11.99,deebrahib,New,https://www.ebay.com/itm/326932453957
KEN GRIFFEY JR Oddball Insert & Regular issue Baseball LOT #2 MarinersYOU CHOOSE,$1.00,"Sold Dec 30, 2025",N,,,N,N,$1.25,thogalas-0,New,https://www.ebay.com/itm/356901846111
1992 Stadium Club Baseball Ken Griffey Jr. Seattle Mariners #400 HOF,$1.99,"Sold Dec 29, 2025",N,,,N,Y,$0.00,j_lcollectibles,New,https://www.ebay.com/itm/177530065924
